isic_code,isic_description,section_code,section_description,division_code,division_description,group_code,group_description,class_code,class_description,primary_method_1,primary_method_2,supporting_method_1,supporting_method_2,sensitivity_method,valuation_rationale,us_stocks,br_stocks
126,Growing of oleaginous fruits,,,1,"Crop and animal production, hunting and related service activities",12,Growing of perennial crops,126,Growing of oleaginous fruits,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","ADM,BG,CTVA","SLCE3,AGRO3,SOJA3"
127,Growing of beverage crops,,,1,"Crop and animal production, hunting and related service activities",12,Growing of perennial crops,127,Growing of beverage crops,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","KO,PEP,STZ","SLCE3,AGRO3,SOJA3"
128,"Growing of spices, aromatic, drug and pharmaceutical crops",,,1,"Crop and animal production, hunting and related service activities",12,Growing of perennial crops,128,"Growing of spices, aromatic, drug and pharmaceutical crops",DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","CTVA,FMC,ANDE","SLCE3,AGRO3,SOJA3"
129,Growing of other perennial crops,,,1,"Crop and animal production, hunting and related service activities",12,Growing of perennial crops,129,Growing of other perennial crops,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","ADM,BG,CTVA","SLCE3,AGRO3,SOJA3"
130,Plant propagation,,,1,"Crop and animal production, hunting and related service activities",13,Plant propagation,130,Plant propagation,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","CTVA,BAYRY,FMC","SLCE3,AGRO3,SOJA3"
141,Raising of cattle and buffaloes,,,1,"Crop and animal production, hunting and related service activities",14,Animal production,141,Raising of cattle and buffaloes,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","TSN,HRL,SEB","JBSS3,MRFG3,BEEF3"
142,Raising of horses and other equines,,,1,"Crop and animal production, hunting and related service activities",14,Animal production,142,Raising of horses and other equines,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","CHDN,CPHC,BYD","JBSS3,MRFG3,BEEF3"
143,Raising of camels and camelids,,,1,"Crop and animal production, hunting and related service activities",14,Animal production,143,Raising of camels and camelids,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","TSN,CVGW,CALM","JBSS3,MRFG3,BEEF3"
144,Raising of sheep and goats,,,1,"Crop and animal production, hunting and related service activities",14,Animal production,144,Raising of sheep and goats,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","TSN,HRL,PPC","JBSS3,MRFG3,BEEF3"
145,Raising of swine and pigs,,,1,"Crop and animal production, hunting and related service activities",14,Animal production,145,Raising of swine and pigs,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","PPC,TSN,HRL","JBSS3,BRFS3,MRFG3"
146,Raising of poultry,,,1,"Crop and animal production, hunting and related service activities",14,Animal production,146,Raising of poultry,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","TSN,PPC,CALM","JBSS3,BRFS3,MRFG3"
149,Raising of other animals,,,1,"Crop and animal production, hunting and related service activities",14,Animal production,149,Raising of other animals,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","CVGW,ALCO,LMNR","JBSS3,MRFG3,BEEF3"
150,Mixed farming,,,1,"Crop and animal production, hunting and related service activities",15,Mixed farming,150,Mixed farming,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","ADM,BG,ANDE","SLCE3,AGRO3,SOJA3"
161,Support activities for crop production,,,1,"Crop and animal production, hunting and related service activities",16,Support activities to agriculture and post-harvest crop activities,161,Support activities for crop production,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","ADM,BG,CTVA","SLCE3,AGRO3,SOJA3"
162,Support activities for animal production,,,1,"Crop and animal production, hunting and related service activities",16,Support activities to agriculture and post-harvest crop activities,162,Support activities for animal production,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","PAHC,ZTS,ELAN","JBSS3,BRFS3,MRFG3"
163,Post-harvest crop activities,,,1,"Crop and animal production, hunting and related service activities",16,Support activities to agriculture and post-harvest crop activities,163,Post-harvest crop activities,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","ADM,BG,CTVA","SLCE3,AGRO3,SOJA3"
164,Seed processing for propagation,,,1,"Crop and animal production, hunting and related service activities",16,Support activities to agriculture and post-harvest crop activities,164,Seed processing for propagation,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","ADM,BG,CTVA","SLCE3,AGRO3,SOJA3"
170,"Hunting, trapping and related service activities",,,1,"Crop and animal production, hunting and related service activities",17,"Hunting, trapping and related service activities",170,"Hunting, trapping and related service activities",DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","SWBI,VSTO,AOUT","SLCE3,AGRO3,SOJA3"
210,Silviculture and other forestry activities,,,2,Forestry and logging,21,Silviculture and other forestry activities,210,Silviculture and other forestry activities,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","RYN,PCH,WY","SUZB3,KLBN11,RANI3"
220,Logging,,,2,Forestry and logging,22,Logging,220,Logging,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","WY,PCH,RYN","SUZB3,KLBN11,RANI3"
230,Gathering of non-wood forest products,,,2,Forestry and logging,23,Gathering of non-wood forest products,230,Gathering of non-wood forest products,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","WY,PCH,RYN","KLBN11,SUZB3,RANI3"
240,Support services to forestry,,,2,Forestry and logging,24,Support services to forestry,240,Support services to forestry,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","RYN,PCH,WY","SUZB3,KLBN11,RANI3"
311,Marine fishing,,,3,Fishing and aquaculture,31,Fishing,311,Marine fishing,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","AQB,SHMP,MPX","BEEF3,BRFS3,MBRF3"
312,Freshwater fishing,,,3,Fishing and aquaculture,31,Fishing,312,Freshwater fishing,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","AOUT,JOUT,UMAC","SLCE3,AGRO3,SOJA3"
321,Marine aquaculture,,,3,Fishing and aquaculture,32,Aquaculture,321,Marine aquaculture,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","AQB,NNA,LMRK","JBSS3,MRFG3,BEEF3"
322,Freshwater aquaculture,,,3,Fishing and aquaculture,32,Aquaculture,322,Freshwater aquaculture,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","ADM,BG,CTVA","BRFS3,BEEF3,MRFG3"
330,Support activities for fishing and aquaculture,,,3,Fishing and aquaculture,33,Support activities for fishing and aquaculture,330,Support activities for fishing and aquaculture,DCF / rDCF,CCA,PTA,DDM,Graham Number,"General business activities, standard valuation methods applied.","ZTS,ELAN,IDXX","JBSS3,MRFG3,BEEF3"
510,Mining of hard coal,,,5,Mining of coal and lignite,51,Mining of hard coal,510,Mining of hard coal,NAV / EV-DACF,CCA,DCF / rDCF,PTA,Replacement Value,"Natural resources are often valued by asset-based methods (NAV/EV-DACF) and market multiples (CCA). DCF and PTA provide cash flow and asset-based perspectives, with Replacement Value for tangible assets.","BTU,AMR,HCC","VALE3,CMIN3,CSNA3"
520,Mining of lignite,,,5,Mining of coal and lignite,52,Mining of lignite,520,Mining of lignite,NAV / EV-DACF,CCA,DCF / rDCF,PTA,Replacement Value,"Natural resources are often valued by asset-based methods (NAV/EV-DACF) and market multiples (CCA). DCF and PTA provide cash flow and asset-based perspectives, with Replacement Value for tangible assets.","BTU,ARCH,AMR","VALE3,CMIN3,CSNA3"
610,Extraction of crude petroleum,,,6,Extraction of crude petroleum and natural gas,61,Extraction of crude petroleum,610,Extraction of crude petroleum,NAV / EV-DACF,CCA,DCF / rDCF,PTA,Replacement Value,"Natural resources are often valued by asset-based methods (NAV/EV-DACF) and market multiples (CCA). DCF and PTA provide cash flow and asset-based perspectives, with Replacement Value for tangible assets.","XOM,CVX,COP","PETR4,PRIO3,RECV3"
620,Extraction of natural gas,,,6,Extraction of crude petroleum and natural gas,62,Extraction of natural gas,620,Extraction of natural gas,NAV / EV-DACF,CCA,DCF / rDCF,PTA,Replacement Value,"Natural resources are often valued by asset-based methods (NAV/EV-DACF) and market multiples (CCA). DCF and PTA provide cash flow and asset-based perspectives, with Replacement Value for tangible assets.","EQT,RRC,SWN","PETR4,PRIO3,RECV3"
710,Mining of iron ores,,,7,Mining of metal ores,71,Mining of iron ores,710,Mining of iron ores,NAV / EV-DACF,CCA,DCF / rDCF,PTA,Replacement Value,"Natural resources are often valued by asset-based methods (NAV/EV-DACF) and market multiples (CCA). DCF and PTA provide cash flow and asset-based perspectives, with Replacement Value for tangible assets.","CLF,X,STLD","VALE3,CMIN3,CSNA3"
721,Mining of uranium and thorium ores,,,7,Mining of metal ores,72,Mining of non-ferrous metal ores,721,Mining of uranium and thorium ores,NAV / EV-DACF,CCA,DCF / rDCF,PTA,Replacement Value,"Natural resources are often valued by asset-based methods (NAV/EV-DACF) and market multiples (CCA). DCF and PTA provide cash flow and asset-based perspectives, with Replacement Value for tangible assets.","CCJ,UUUU,UEC","VALE3,CMIN3,AURA33"
729,Mining of other non-ferrous metal ores,,,7,Mining of metal ores,72,Mining of non-ferrous metal ores,729,Mining of other non-ferrous metal ores,NAV / EV-DACF,CCA,DCF / rDCF,PTA,Replacement Value,"Natural resources are often valued by asset-based methods (NAV/EV-DACF) and market multiples (CCA). DCF and PTA provide cash flow and asset-based perspectives, with Replacement Value for tangible assets.","FCX,SCCO,HBM","VALE3,CMIN3,AURA33"
810,"Quarrying of stone, sand and clay",,,8,Other mining and quarrying,81,"Quarrying of stone, sand and clay",810,"Quarrying of stone, sand and clay",NAV / EV-DACF,CCA,DCF / rDCF,PTA,Replacement Value,"Natural resources are often valued by asset-based methods (NAV/EV-DACF) and market multiples (CCA). DCF and PTA provide cash flow and asset-based perspectives, with Replacement Value for tangible assets.","VMC,MLM,EXP","VALE3,CSNA3,USIM5"
891,Mining of chemical and fertilizer minerals,,,8,Other mining and quarrying,89,Mining and quarrying n.e.c.,891,Mining of chemical and fertilizer minerals,NAV / EV-DACF,CCA,DCF / rDCF,PTA,Replacement Value,"Natural resources are often valued by asset-based methods (NAV/EV-DACF) and market multiples (CCA). DCF and PTA provide cash flow and asset-based perspectives, with Replacement Value for tangible assets.","MOS,CF,IPI","VALE3,CMIN3,BRAP4"
892,Extraction of peat,,,8,Other mining and quarrying,89,Mining and quarrying n.e.c.,892,Extraction of peat,NAV / EV-DACF,CCA,DCF / rDCF,PTA,Replacement Value,"Natural resources are often valued by asset-based methods (NAV/EV-DACF) and market multiples (CCA). DCF and PTA provide cash flow and asset-based perspectives, with Replacement Value for tangible assets.","SMG,NTR,SQM","VALE3,CMIN3,USIM5"
893,Extraction of salt,,,8,Other mining and quarrying,89,Mining and quarrying n.e.c.,893,Extraction of salt,NAV / EV-DACF,CCA,DCF / rDCF,PTA,Replacement Value,"Natural resources are often valued by asset-based methods (NAV/EV-DACF) and market multiples (CCA). DCF and PTA provide cash flow and asset-based perspectives, with Replacement Value for tangible assets.","IPI,MOS,CMP","VALE3,CSNA3,USIM5"
899,Other mining and quarrying n.e.c.,,,8,Other mining and quarrying,89,Mining and quarrying n.e.c.,899,Other mining and quarrying n.e.c.,NAV / EV-DACF,CCA,DCF / rDCF,PTA,Replacement Value,"Natural resources are often valued by asset-based methods (NAV/EV-DACF) and market multiples (CCA). DCF and PTA provide cash flow and asset-based perspectives, with Replacement Value for tangible assets.","FCX,SCCO,NEM","VALE3,CMIN3,CSNA3"
910,Support activities for petroleum and natural gas extraction,,,9,Mining support service activities,91,Support activities for petroleum and natural gas extraction,910,Support activities for petroleum and natural gas extraction,NAV / EV-DACF,CCA,DCF / rDCF,PTA,Replacement Value,"Natural resources and support activities are often valued by asset-based methods (NAV/EV-DACF) and market multiples (CCA). DCF and PTA provide cash flow and asset-based perspectives, with Replacement Value for tangible assets.","BKR,HAL,SLB","PETR4,PRIO3,BRAV3"
990,Support activities for other mining and quarrying,,,9,Mining support service activities,99,Support activities for other mining and quarrying,990,Support activities for other mining and quarrying,NAV / EV-DACF,CCA,DCF / rDCF,PTA,Replacement Value,"Natural resources are often valued by asset-based methods (NAV/EV-DACF) and market multiples (CCA). DCF and PTA provide cash flow and asset-based perspectives, with Replacement Value for tangible assets.","METC,ARCH,CEIX","VALE3,CMIN3,CSNA3"
1010,Processing and preserving of meat,,,10,Manufacture of food products,101,Processing and preserving of meat,1010,Processing and preserving of meat,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","TSN,CPB,HRL","JBSS3,MRFG3,BEEF3"
1020,"Processing and preserving of fish, crustaceans and molluscs",,,10,Manufacture of food products,102,"Processing and preserving of fish, crustaceans and molluscs",1020,"Processing and preserving of fish, crustaceans and molluscs",DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","TSN,HRL,CPB","BEEF3,BRFS3,CAML3"
1030,Processing and preserving of fruit and vegetables,,,10,Manufacture of food products,103,Processing and preserving of fruit and vegetables,1030,Processing and preserving of fruit and vegetables,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","SJM,CPB,KHC","BRFS3,MDIA3,JBSS3"
1040,Manufacture of vegetable and animal oils and fats,,,10,Manufacture of food products,104,Manufacture of vegetable and animal oils and fats,1040,Manufacture of vegetable and animal oils and fats,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","ADM,BG,CTVA","SLCE3,AGRO3,SOJA3"
1050,Manufacture of dairy products,,,10,Manufacture of food products,105,Manufacture of dairy products,1050,Manufacture of dairy products,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","LANC,SFM,GIS","BRFS3,MDIA3,CAML3"
1061,Manufacture of grain mill products,,,10,Manufacture of food products,106,"Manufacture of grain mill products, starches and starch products",1061,Manufacture of grain mill products,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","ADM,BG,INGR","MDIA3,CAML3,JALL3"
1062,Manufacture of starches and starch products,,,10,Manufacture of food products,106,"Manufacture of grain mill products, starches and starch products",1062,Manufacture of starches and starch products,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","INGR,ADM,BG","SLCE3,AGRO3,SOJA3"
1071,Manufacture of bakery products,,,10,Manufacture of food products,107,Manufacture of other food products,1071,Manufacture of bakery products,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","FLO,CPB,THS","MDIA3,CAML3,JALL3"
1072,Manufacture of sugar,,,10,Manufacture of food products,107,Manufacture of other food products,1072,Manufacture of sugar,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","HSY,ADM,BG","SMTO3,JALL3,RAIZ4"
1073,"Manufacture of cocoa, chocolate and sugar confectionery",,,10,Manufacture of food products,107,Manufacture of other food products,1073,"Manufacture of cocoa, chocolate and sugar confectionery",DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","HSY,MKC,SJM","MDIA3,SMTO3,JALL3"
1074,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",,,10,Manufacture of food products,107,Manufacture of other food products,1074,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","CPB,GIS,SJM","MDIA3,CAML3,JALL3"
1075,Manufacture of prepared meals and dishes,,,10,Manufacture of food products,107,Manufacture of other food products,1075,Manufacture of prepared meals and dishes,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","CAG,CPB,HRL","BRFS3,MRFG3,MDIA3"
1076,Processing of coffee and tea,,,10,Manufacture of food products,107,Manufacture of other food products,1076,Processing of coffee and tea,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","SBUX,BROS,DNUT","MDIA3,CAML3,BRFS3"
1079,Manufacture of other food products n.e.c.,,,10,Manufacture of food products,107,Manufacture of other food products,1079,Manufacture of other food products n.e.c.,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","CPB,GIS,KHC","MDIA3,CAML3,BRFS3"
1080,Manufacture of prepared animal feeds,,,10,Manufacture of food products,108,Manufacture of prepared animal feeds,1080,Manufacture of prepared animal feeds,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","LMNR,INGR,PPC","MDIA3,CAML3,BEEF3"
1101,"Distilling, rectifying and blending of spirits",,,11,Manufacture of beverages,110,Manufacture of beverages,1101,"Distilling, rectifying and blending of spirits",DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","STZ,BF.B,SAM","ABEV3,RAIZ4,SMTO3"
1102,Manufacture of wines,,,11,Manufacture of beverages,110,Manufacture of beverages,1102,Manufacture of wines,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","STZ,WVVI,DEO","ABEV3,RAIZ4,SMTO3"
1103,Manufacture of beer,,,11,Manufacture of beverages,110,Manufacture of beverages,1103,Manufacture of beer,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","BUD,STZ,SAM","ABEV3,MDIA3,RAIZ4"
1104,Manufacture of malt,,,11,Manufacture of beverages,110,Manufacture of beverages,1104,Manufacture of malt,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","ADM,BG,CTVA","ABEV3,KEPL3,SMTO3"
1105,Manufacture of soft drinks; production of mineral waters and other bottled waters,,,11,Manufacture of beverages,110,Manufacture of beverages,1105,Manufacture of soft drinks; production of mineral waters and other bottled waters,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","KO,PEP,KDP","ABEV3,MDIA3,PGMN3"
1200,Manufacture of tobacco products,,,12,Manufacture of tobacco products,120,Manufacture of tobacco products,1200,Manufacture of tobacco products,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","PM,MO,TPB","ABEV3,MDIA3,NTCO3"
1311,Preparation and spinning of textile fibres,,,13,Manufacture of textiles,131,"Spinning, weaving and finishing of textiles",1311,Preparation and spinning of textile fibres,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","AIN,UFI,CULP","CTNM3,CTNM4,CEDO4"
1312,Weaving of textiles,,,13,Manufacture of textiles,131,"Spinning, weaving and finishing of textiles",1312,Weaving of textiles,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","CULP,UFI,VGI","VULC3,GRND3,CAMB3"
1313,Finishing of textiles,,,13,Manufacture of textiles,131,"Spinning, weaving and finishing of textiles",1313,Finishing of textiles,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","AIN,UFI,CULP","CTNM4,PTNT4,CEDO4"
1391,Manufacture of knitted and crocheted fabrics,,,13,Manufacture of textiles,139,Manufacture of other textiles,1391,Manufacture of knitted and crocheted fabrics,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","VFC,HBI,PVH","VULC3,GRND3,CTKA4"
1392,"Manufacture of made-up textile articles, except apparel",,,13,Manufacture of textiles,139,Manufacture of other textiles,1392,"Manufacture of made-up textile articles, except apparel",DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","TPR,CPRI,GIL","CTKA4,CEDO4,TEKA4"
1393,Manufacture of carpets and rugs,,,13,Manufacture of textiles,139,Manufacture of other textiles,1393,Manufacture of carpets and rugs,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","MHK,MCK,DIX","ALPA4,AMER3,GRND3"
1394,"Manufacture of cordage, rope, twine and netting",,,13,Manufacture of textiles,139,Manufacture of other textiles,1394,"Manufacture of cordage, rope, twine and netting",DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","MMM,KMT,GT","CRFB3,ASAI3,PCAR3"
1399,Manufacture of other textiles n.e.c.,,,13,Manufacture of textiles,139,Manufacture of other textiles,1399,Manufacture of other textiles n.e.c.,DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","MOV,CRI,PVH","CTNM4,SGEN3,PTNT4"
1410,"Manufacture of wearing apparel, except fur apparel",,,14,Manufacture of wearing apparel,141,"Manufacture of wearing apparel, except fur apparel",1410,"Manufacture of wearing apparel, except fur apparel",DCF / rDCF,CCA,PTA,DDM,Graham Number,"Stable consumer businesses benefit from DCF for cash flow projection and CCA for market comparison. PTA and DDM offer additional perspectives, with Graham Number as a safety margin check.","VFC,PVH,RL","LREN3,CEAB3,ALPA4"
